date,window_start,true_label,pred_label,confidence,n_retrieved,method
2011/7/12,2011/4/12,bull,bull,0.8837,14,feature_knn_balanced_alpha1.0
2011/7/19,2011/4/19,bull,bull,0.9533,14,feature_knn_balanced_alpha1.0
2011/7/26,2011/4/27,bull,bull,0.9592,14,feature_knn_balanced_alpha1.0
2011/8/2,2011/5/4,bull,high_vol,0.8443,14,feature_knn_balanced_alpha1.0
2011/8/9,2011/5/11,high_vol,high_vol,0.9581,14,feature_knn_balanced_alpha1.0
2011/8/16,2011/5/18,high_vol,high_vol,0.9783,15,feature_knn_balanced_alpha1.0
2011/8/23,2011/5/25,high_vol,high_vol,0.9903,15,feature_knn_balanced_alpha1.0
2011/8/30,2011/6/2,high_vol,high_vol,0.9937,15,feature_knn_balanced_alpha1.0
2011/9/7,2011/6/9,high_vol,high_vol,0.9176,15,feature_knn_balanced_alpha1.0
2011/9/14,2011/6/16,high_vol,high_vol,0.9641,15,feature_knn_balanced_alpha1.0
2011/9/21,2011/6/23,high_vol,high_vol,0.9752,15,feature_knn_balanced_alpha1.0
2011/9/28,2011/6/30,high_vol,high_vol,0.9879,15,feature_knn_balanced_alpha1.0
2011/10/5,2011/7/8,high_vol,high_vol,0.9955,15,feature_knn_balanced_alpha1.0
2011/10/12,2011/7/15,high_vol,high_vol,0.9866,15,feature_knn_balanced_alpha1.0
2011/10/19,2011/7/22,high_vol,high_vol,0.9961,15,feature_knn_balanced_alpha1.0
2011/10/26,2011/7/29,bull,high_vol,0.9524,15,feature_knn_balanced_alpha1.0
2011/11/2,2011/8/5,high_vol,high_vol,0.9427,15,feature_knn_balanced_alpha1.0
2011/11/9,2011/8/12,high_vol,high_vol,0.9542,15,feature_knn_balanced_alpha1.0
2011/11/16,2011/8/19,high_vol,high_vol,0.9664,15,feature_knn_balanced_alpha1.0
2011/11/23,2011/8/26,high_vol,high_vol,0.9397,15,feature_knn_balanced_alpha1.0
2011/12/1,2011/9/2,bull,high_vol,0.9537,15,feature_knn_balanced_alpha1.0
2011/12/8,2011/9/12,high_vol,high_vol,0.925,15,feature_knn_balanced_alpha1.0
2011/12/15,2011/9/19,bull,high_vol,0.8953,15,feature_knn_balanced_alpha1.0
2011/12/22,2011/9/26,bull,high_vol,0.6901,15,feature_knn_balanced_alpha1.0
2011/12/30,2011/10/3,bull,high_vol,0.7516,15,feature_knn_balanced_alpha1.0
2012/1/9,2011/10/10,bull,bull,0.6535,15,feature_knn_balanced_alpha1.0
2012/1/17,2011/10/17,bull,bull,0.7675,15,feature_knn_balanced_alpha1.0
2012/1/24,2011/10/24,bull,bull,0.9221,15,feature_knn_balanced_alpha1.0
2012/1/31,2011/10/31,bull,bull,0.9628,15,feature_knn_balanced_alpha1.0
2012/2/7,2011/11/7,bull,bull,0.986,15,feature_knn_balanced_alpha1.0
2012/2/14,2011/11/14,bull,bull,0.99,15,feature_knn_balanced_alpha1.0
2012/2/22,2011/11/21,bull,bull,0.9895,15,feature_knn_balanced_alpha1.0
2012/2/29,2011/11/29,bull,bull,0.9951,15,feature_knn_balanced_alpha1.0
2012/3/7,2011/12/6,bull,bull,0.9854,15,feature_knn_balanced_alpha1.0
2012/3/14,2011/12/13,bull,bull,0.9969,15,feature_knn_balanced_alpha1.0
2012/3/21,2011/12/20,bull,bull,0.9981,15,feature_knn_balanced_alpha1.0
2012/3/28,2011/12/28,bull,bull,0.9986,15,feature_knn_balanced_alpha1.0
2012/4/4,2012/1/5,bull,bull,0.9978,15,feature_knn_balanced_alpha1.0
2012/4/12,2012/1/12,bull,bull,0.9881,15,feature_knn_balanced_alpha1.0
2012/4/19,2012/1/20,bull,bull,0.9763,15,feature_knn_balanced_alpha1.0
2012/4/26,2012/1/27,bull,bull,0.9941,15,feature_knn_balanced_alpha1.0
2012/5/3,2012/2/3,bull,bull,0.9942,15,feature_knn_balanced_alpha1.0
2012/5/10,2012/2/10,bull,bull,0.9884,15,feature_knn_balanced_alpha1.0
2012/5/17,2012/2/17,bull,bull,0.7714,15,feature_knn_balanced_alpha1.0
2012/5/24,2012/2/27,bull,bull,0.916,15,feature_knn_balanced_alpha1.0
2012/6/1,2012/3/5,bull,bull,0.6628,15,feature_knn_balanced_alpha1.0
2012/6/8,2012/3/12,bull,bull,0.878,15,feature_knn_balanced_alpha1.0
2012/6/15,2012/3/19,bull,bull,0.8189,15,feature_knn_balanced_alpha1.0
2012/6/22,2012/3/26,bull,bull,0.8945,15,feature_knn_balanced_alpha1.0
2012/6/29,2012/4/2,bull,bull,0.9121,15,feature_knn_balanced_alpha1.0
2012/7/9,2012/4/10,bull,bull,0.9533,15,feature_knn_balanced_alpha1.0
2012/7/16,2012/4/17,bull,bull,0.9803,15,feature_knn_balanced_alpha1.0
2012/7/23,2012/4/24,bull,bull,0.9794,15,feature_knn_balanced_alpha1.0
2012/7/30,2012/5/1,bull,bull,0.9811,15,feature_knn_balanced_alpha1.0
2012/8/6,2012/5/8,bull,bull,0.9823,15,feature_knn_balanced_alpha1.0
2012/8/13,2012/5/15,bull,bull,0.9888,15,feature_knn_balanced_alpha1.0
2012/8/20,2012/5/22,bull,bull,0.994,15,feature_knn_balanced_alpha1.0
2012/8/27,2012/5/30,bull,bull,0.9959,15,feature_knn_balanced_alpha1.0
2012/9/4,2012/6/6,bull,bull,0.9966,15,feature_knn_balanced_alpha1.0
2012/9/11,2012/6/13,bull,bull,0.9976,15,feature_knn_balanced_alpha1.0
2012/9/18,2012/6/20,bull,bull,0.9979,15,feature_knn_balanced_alpha1.0
2012/9/25,2012/6/27,bull,bull,0.9982,15,feature_knn_balanced_alpha1.0
2012/10/2,2012/7/5,bull,bull,0.9982,15,feature_knn_balanced_alpha1.0
2012/10/9,2012/7/12,bull,bull,0.9986,15,feature_knn_balanced_alpha1.0
2012/10/16,2012/7/19,bull,bull,0.9986,15,feature_knn_balanced_alpha1.0
2012/10/23,2012/7/26,bull,bull,0.9955,15,feature_knn_balanced_alpha1.0
2012/11/1,2012/8/2,bull,bull,0.9978,15,feature_knn_balanced_alpha1.0
2012/11/8,2012/8/9,bull,bull,0.9828,15,feature_knn_balanced_alpha1.0
2012/11/15,2012/8/16,bull,bull,0.8737,15,feature_knn_balanced_alpha1.0
2012/11/23,2012/8/23,bull,bull,0.9857,15,feature_knn_balanced_alpha1.0
2012/11/30,2012/8/30,bull,bull,0.9904,15,feature_knn_balanced_alpha1.0
2012/12/7,2012/9/7,bull,bull,0.9925,15,feature_knn_balanced_alpha1.0
2012/12/14,2012/9/14,bull,bull,0.9903,15,feature_knn_balanced_alpha1.0
2012/12/21,2012/9/21,bull,bull,0.9908,15,feature_knn_balanced_alpha1.0
2012/12/31,2012/9/28,bull,bull,0.9923,15,feature_knn_balanced_alpha1.0
2013/1/8,2012/10/5,bull,bull,0.993,15,feature_knn_balanced_alpha1.0
2013/1/15,2012/10/12,bull,bull,0.9953,15,feature_knn_balanced_alpha1.0
2013/1/23,2012/10/19,bull,bull,0.9978,15,feature_knn_balanced_alpha1.0
2013/1/30,2012/10/26,bull,bull,0.9976,15,feature_knn_balanced_alpha1.0
2013/2/6,2012/11/6,bull,bull,0.9977,15,feature_knn_balanced_alpha1.0
2013/2/13,2012/11/13,bull,bull,0.9989,15,feature_knn_balanced_alpha1.0
2013/2/21,2012/11/20,bull,bull,0.9981,15,feature_knn_balanced_alpha1.0
2013/2/28,2012/11/28,bull,bull,0.9981,15,feature_knn_balanced_alpha1.0
2013/3/7,2012/12/5,bull,bull,0.9988,15,feature_knn_balanced_alpha1.0
2013/3/14,2012/12/12,bull,bull,0.999,15,feature_knn_balanced_alpha1.0
2013/3/21,2012/12/19,bull,bull,0.9989,15,feature_knn_balanced_alpha1.0
2013/3/28,2012/12/27,bull,bull,0.9995,15,feature_knn_balanced_alpha1.0
2013/4/5,2013/1/4,bull,bull,0.9992,15,feature_knn_balanced_alpha1.0
2013/4/12,2013/1/11,bull,bull,0.9994,15,feature_knn_balanced_alpha1.0
2013/4/19,2013/1/18,bull,bull,0.9972,15,feature_knn_balanced_alpha1.0
2013/4/26,2013/1/28,bull,bull,0.9983,15,feature_knn_balanced_alpha1.0
2013/5/3,2013/2/4,bull,bull,0.9986,15,feature_knn_balanced_alpha1.0
2013/5/10,2013/2/11,bull,bull,0.9988,15,feature_knn_balanced_alpha1.0
2013/5/17,2013/2/19,bull,bull,0.9987,15,feature_knn_balanced_alpha1.0
2013/5/24,2013/2/26,bull,bull,0.9989,15,feature_knn_balanced_alpha1.0
2013/6/3,2013/3/5,bull,bull,0.9969,15,feature_knn_balanced_alpha1.0
2013/6/10,2013/3/12,bull,bull,0.9963,15,feature_knn_balanced_alpha1.0
2013/6/17,2013/3/19,bull,bull,0.9935,15,feature_knn_balanced_alpha1.0
2013/6/24,2013/3/26,bull,bull,0.8123,15,feature_knn_balanced_alpha1.0
2013/7/1,2013/4/3,bull,bull,0.9467,15,feature_knn_balanced_alpha1.0
2013/7/9,2013/4/10,bull,bull,0.9782,15,feature_knn_balanced_alpha1.0
2013/7/16,2013/4/17,bull,bull,0.9916,15,feature_knn_balanced_alpha1.0
2013/7/23,2013/4/24,bull,bull,0.9929,15,feature_knn_balanced_alpha1.0
2013/7/30,2013/5/1,bull,bull,0.9954,15,feature_knn_balanced_alpha1.0
2013/8/6,2013/5/8,bull,bull,0.9952,15,feature_knn_balanced_alpha1.0
2013/8/13,2013/5/15,bull,bull,0.9957,15,feature_knn_balanced_alpha1.0
2013/8/20,2013/5/22,bull,bull,0.9792,15,feature_knn_balanced_alpha1.0
2013/8/27,2013/5/30,bull,bull,0.9717,15,feature_knn_balanced_alpha1.0
2013/9/4,2013/6/6,bull,bull,0.9888,15,feature_knn_balanced_alpha1.0
2013/9/11,2013/6/13,bull,bull,0.9955,15,feature_knn_balanced_alpha1.0
2013/9/18,2013/6/20,bull,bull,0.9979,15,feature_knn_balanced_alpha1.0
2013/9/25,2013/6/27,bull,bull,0.9977,15,feature_knn_balanced_alpha1.0
2013/10/2,2013/7/5,bull,bull,0.9967,15,feature_knn_balanced_alpha1.0
2013/10/9,2013/7/12,bull,bull,0.981,15,feature_knn_balanced_alpha1.0
2013/10/16,2013/7/19,bull,bull,0.9956,15,feature_knn_balanced_alpha1.0
2013/10/23,2013/7/26,bull,bull,0.9973,15,feature_knn_balanced_alpha1.0
2013/10/30,2013/8/2,bull,bull,0.9981,15,feature_knn_balanced_alpha1.0
2013/11/6,2013/8/9,bull,bull,0.9986,15,feature_knn_balanced_alpha1.0
2013/11/13,2013/8/16,bull,bull,0.9989,15,feature_knn_balanced_alpha1.0
2013/11/20,2013/8/23,bull,bull,0.9982,15,feature_knn_balanced_alpha1.0
2013/11/27,2013/8/30,bull,bull,0.999,15,feature_knn_balanced_alpha1.0
2013/12/5,2013/9/9,bull,bull,0.9976,15,feature_knn_balanced_alpha1.0
2013/12/12,2013/9/16,bull,bull,0.9976,15,feature_knn_balanced_alpha1.0
2013/12/19,2013/9/23,bull,bull,0.9986,15,feature_knn_balanced_alpha1.0
2013/12/27,2013/9/30,bull,bull,0.9991,15,feature_knn_balanced_alpha1.0
2014/1/6,2013/10/7,bull,bull,0.999,15,feature_knn_balanced_alpha1.0
2014/1/13,2013/10/14,bull,bull,0.9989,15,feature_knn_balanced_alpha1.0
2014/1/21,2013/10/21,bull,bull,0.9991,15,feature_knn_balanced_alpha1.0
2014/1/28,2013/10/28,bull,bull,0.9871,15,feature_knn_balanced_alpha1.0
2014/2/4,2013/11/4,bull,bull,0.9539,15,feature_knn_balanced_alpha1.0
2014/2/11,2013/11/11,bull,bull,0.983,15,feature_knn_balanced_alpha1.0
2014/2/19,2013/11/18,bull,bull,0.9868,15,feature_knn_balanced_alpha1.0
2014/2/26,2013/11/25,bull,bull,0.9912,15,feature_knn_balanced_alpha1.0
2014/3/5,2013/12/3,bull,bull,0.9934,15,feature_knn_balanced_alpha1.0
2014/3/12,2013/12/10,bull,bull,0.9926,15,feature_knn_balanced_alpha1.0
2014/3/19,2013/12/17,bull,bull,0.9938,15,feature_knn_balanced_alpha1.0
2014/3/26,2013/12/24,bull,bull,0.9924,15,feature_knn_balanced_alpha1.0
2014/4/2,2014/1/2,bull,bull,0.9966,15,feature_knn_balanced_alpha1.0
2014/4/9,2014/1/9,bull,bull,0.9949,15,feature_knn_balanced_alpha1.0
